state,year,month,mean_percentile
Alabama,2020,1,
Alabama,2020,2,
Alabama,2020,3,
Alabama,2020,4,
Alabama,2020,5,
Alabama,2020,6,
Alabama,2020,7,
Alabama,2020,8,
Alabama,2020,9,
Alabama,2020,10,
Alabama,2020,11,
Alabama,2020,12,
Alabama,2021,1,
Alabama,2021,2,
Alabama,2021,3,
Alabama,2021,4,
Alabama,2021,5,
Alabama,2021,6,
Alabama,2021,7,
Alabama,2021,8,
Alabama,2021,9,
Alabama,2021,10,
Alabama,2021,11,
Alabama,2021,12,
Alabama,2022,1,
Alabama,2022,2,
Alabama,2022,3,
Alabama,2022,4,
Alabama,2022,5,
Alabama,2022,6,
Alabama,2022,7,
Alabama,2022,8,50.315877238806
Alabama,2022,9,
Alabama,2022,10,
Alabama,2022,11,
Alabama,2022,12,
Alabama,2023,1,
Alabama,2023,2,
Alabama,2023,3,
Alabama,2023,4,
Alabama,2023,5,
Alabama,2023,6,
Alabama,2023,7,
Alabama,2023,8,
Alabama,2023,9,
Alabama,2023,10,
Alabama,2023,11,
Alabama,2023,12,54.1225071428572
Alabama,2024,1,
Alabama,2024,2,
Alabama,2024,3,
Alabama,2024,4,
Alabama,2024,5,
Alabama,2024,6,
Alabama,2024,7,
Alabama,2024,8,
Alabama,2024,9,
Alabama,2024,10,
Alabama,2024,11,
Alabama,2024,12,
Alaska,2020,1,
Alaska,2020,2,
Alaska,2020,3,
Alaska,2020,4,
Alaska,2020,5,
Alaska,2020,6,
Alaska,2020,7,
Alaska,2020,8,
Alaska,2020,9,
Alaska,2020,10,
Alaska,2020,11,
Alaska,2020,12,
Alaska,2021,1,
Alaska,2021,2,
Alaska,2021,3,
Alaska,2021,4,
Alaska,2021,5,
Alaska,2021,6,
Alaska,2021,7,
Alaska,2021,8,
Alaska,2021,9,
Alaska,2021,10,
Alaska,2021,11,
Alaska,2021,12,
Alaska,2022,1,
Alaska,2022,2,
Alaska,2022,3,
Alaska,2022,4,
Alaska,2022,5,
Alaska,2022,6,
Alaska,2022,7,
Alaska,2022,8,
Alaska,2022,9,
Alaska,2022,10,
Alaska,2022,11,
Alaska,2022,12,
Alaska,2023,1,
Alaska,2023,2,
Alaska,2023,3,
Alaska,2023,4,
Alaska,2023,5,49.7087490909091
Alaska,2023,6,
Alaska,2023,7,
Alaska,2023,8,
Alaska,2023,9,
Alaska,2023,10,
Alaska,2023,11,
Alaska,2023,12,47.5591772151899
Alaska,2024,1,
Alaska,2024,2,
Alaska,2024,3,
Alaska,2024,4,
Alaska,2024,5,
Alaska,2024,6,
Alaska,2024,7,
Alaska,2024,8,
Alaska,2024,9,
Alaska,2024,10,
Alaska,2024,11,
Alaska,2024,12,
Arizona,2020,1,
Arizona,2020,2,
Arizona,2020,3,
Arizona,2020,4,50.0791389913899
Arizona,2020,5,
Arizona,2020,6,
Arizona,2020,7,
Arizona,2020,8,
Arizona,2020,9,
Arizona,2020,10,
Arizona,2020,11,
Arizona,2020,12,
Arizona,2021,1,
Arizona,2021,2,50.7409384445264
Arizona,2021,3,
Arizona,2021,4,
Arizona,2021,5,
Arizona,2021,6,
Arizona,2021,7,
Arizona,2021,8,
Arizona,2021,9,
Arizona,2021,10,
Arizona,2021,11,
Arizona,2021,12,
Arizona,2022,1,
Arizona,2022,2,
Arizona,2022,3,
Arizona,2022,4,
Arizona,2022,5,
Arizona,2022,6,
Arizona,2022,7,
Arizona,2022,8,
Arizona,2022,9,
Arizona,2022,10,
Arizona,2022,11,
Arizona,2022,12,
Arizona,2023,1,
Arizona,2023,2,
Arizona,2023,3,
Arizona,2023,4,
Arizona,2023,5,
Arizona,2023,6,
Arizona,2023,7,48.8644213075061
Arizona,2023,8,49.3904377104377
Arizona,2023,9,
Arizona,2023,10,48.8305147058824
Arizona,2023,11,50.2887294117647
Arizona,2023,12,48.3879394618834
Arizona,2024,1,
Arizona,2024,2,
Arizona,2024,3,
Arizona,2024,4,
Arizona,2024,5,
Arizona,2024,6,
Arizona,2024,7,
Arizona,2024,8,
Arizona,2024,9,
Arizona,2024,10,
Arizona,2024,11,
Arizona,2024,12,
Arkansas,2020,1,
Arkansas,2020,2,
Arkansas,2020,3,
Arkansas,2020,4,
Arkansas,2020,5,
Arkansas,2020,6,
Arkansas,2020,7,
Arkansas,2020,8,
Arkansas,2020,9,
Arkansas,2020,10,
Arkansas,2020,11,
Arkansas,2020,12,
Arkansas,2021,1,
Arkansas,2021,2,
