state,year,month,mean_percentile,region
Alabama,2020,1,,South
Alabama,2020,2,,South
Alabama,2020,3,,South
Alabama,2020,4,,South
Alabama,2020,5,,South
Alabama,2020,6,,South
Alabama,2020,7,,South
Alabama,2020,8,,South
Alabama,2020,9,,South
Alabama,2020,10,,South
Alabama,2020,11,,South
Alabama,2020,12,,South
Alabama,2021,1,,South
Alabama,2021,2,,South
Alabama,2021,3,,South
Alabama,2021,4,,South
Alabama,2021,5,,South
Alabama,2021,6,,South
Alabama,2021,7,,South
Alabama,2021,8,,South
Alabama,2021,9,,South
Alabama,2021,10,,South
Alabama,2021,11,,South
Alabama,2021,12,,South
Alabama,2022,1,,South
Alabama,2022,2,,South
Alabama,2022,3,,South
Alabama,2022,4,,South
Alabama,2022,5,,South
Alabama,2022,6,,South
Alabama,2022,7,,South
Alabama,2022,8,50.315877238806,South
Alabama,2022,9,,South
Alabama,2022,10,,South
Alabama,2022,11,,South
Alabama,2022,12,,South
Alabama,2023,1,,South
Alabama,2023,2,,South
Alabama,2023,3,,South
Alabama,2023,4,,South
Alabama,2023,5,,South
Alabama,2023,6,,South
Alabama,2023,7,,South
Alabama,2023,8,,South
Alabama,2023,9,,South
Alabama,2023,10,,South
Alabama,2023,11,,South
Alabama,2023,12,54.1225071428572,South
Alabama,2024,1,,South
Alabama,2024,2,,South
Alabama,2024,3,,South
Alabama,2024,4,,South
Alabama,2024,5,,South
Alabama,2024,6,,South
Alabama,2024,7,,South
Alabama,2024,8,,South
Alabama,2024,9,,South
Alabama,2024,10,,South
Alabama,2024,11,,South
Alabama,2024,12,,South
Alaska,2020,1,,West
Alaska,2020,2,,West
Alaska,2020,3,,West
Alaska,2020,4,,West
Alaska,2020,5,,West
Alaska,2020,6,,West
Alaska,2020,7,,West
Alaska,2020,8,,West
Alaska,2020,9,,West
Alaska,2020,10,,West
Alaska,2020,11,,West
Alaska,2020,12,,West
Alaska,2021,1,,West
Alaska,2021,2,,West
Alaska,2021,3,,West
Alaska,2021,4,,West
Alaska,2021,5,,West
Alaska,2021,6,,West
Alaska,2021,7,,West
Alaska,2021,8,,West
Alaska,2021,9,,West
Alaska,2021,10,,West
Alaska,2021,11,,West
Alaska,2021,12,,West
Alaska,2022,1,,West
Alaska,2022,2,,West
Alaska,2022,3,,West
Alaska,2022,4,,West
Alaska,2022,5,,West
Alaska,2022,6,,West
Alaska,2022,7,,West
Alaska,2022,8,,West
Alaska,2022,9,,West
Alaska,2022,10,,West
Alaska,2022,11,,West
Alaska,2022,12,,West
Alaska,2023,1,,West
Alaska,2023,2,,West
Alaska,2023,3,,West
Alaska,2023,4,,West
Alaska,2023,5,49.7087490909091,West
Alaska,2023,6,,West
